walking_tick_	current_step_num_	current_link_q_leg_(0)	current_link_q_leg_(1)	current_link_q_leg_(2)	current_link_q_leg_(3)	current_link_q_leg_(4)	current_link_q_leg_(5)	current_link_q_leg_(6)	current_link_q_leg_(7)	current_link_q_leg_(8)	current_link_q_leg_(9)	current_link_q_leg_(10)	current_link_q_leg_(11)
78	0	-1.33061e-07	0.0353293	-0.0401041	0.736979	-0.695077	-0.0351131	-4.58116e-08	-0.0353558	0.0401588	-0.737063	0.695103	0.0350346
79	0	-5.40174e-07	0.0353299	-0.0402703	0.736997	-0.694936	-0.0351132	-8.56312e-08	-0.0353563	0.040325	-0.73708	0.694963	0.0350347
80	0	-6.88894e-07	0.0353305	-0.0404408	0.737015	-0.694793	-0.035113	7.80379e-08	-0.0353567	0.0404954	-0.737098	0.694819	0.0350349
81	0	-2.98725e-07	0.0353305	-0.0406226	0.737035	-0.694637	-0.0351124	5.47134e-07	-0.0353578	0.040677	-0.737118	0.694663	0.0350355
82	0	1.12866e-07	0.0353304	-0.0407807	0.737054	-0.694493	-0.0351118	4.83612e-07	-0.035359	0.0408349	-0.737137	0.694519	0.0350362
83	0	-5.42315e-08	0.0353307	-0.0409462	0.737076	-0.694356	-0.0351115	5.19983e-07	-0.0353597	0.0410004	-0.737158	0.694382	0.0350364
84	0	-7.18987e-07	0.0353317	-0.041157	0.737098	-0.694189	-0.0351117	7.33794e-07	-0.0353598	0.0412112	-0.73718	0.694215	0.0350364
85	0	-4.73904e-07	0.0353324	-0.0413204	0.737113	-0.694036	-0.0351121	4.83336e-07	-0.0353599	0.0413746	-0.737196	0.694062	0.0350362
86	0	-3.21832e-07	0.0353322	-0.041501	0.737135	-0.69388	-0.0351122	6.69965e-07	-0.0353611	0.0415553	-0.737218	0.693906	0.0350361
87	0	-7.45575e-07	0.0353327	-0.0416814	0.737158	-0.693723	-0.0351124	2.43852e-07	-0.0353614	0.0417359	-0.737241	0.693749	0.0350358
88	0	-6.75626e-07	0.0353338	-0.0419065	0.737182	-0.693544	-0.0351128	1.29232e-06	-0.0353614	0.0419608	-0.737265	0.69357	0.0350354
89	0	-4.90916e-07	0.0353345	-0.0420877	0.737199	-0.693379	-0.035113	1.14336e-06	-0.0353614	0.0421419	-0.737282	0.693405	0.0350355
90	0	-5.37503e-07	0.0353345	-0.0422795	0.737221	-0.693211	-0.0351127	9.60285e-07	-0.0353623	0.0423338	-0.737304	0.693237	0.0350357
91	0	-1.28931e-06	0.0353351	-0.0424853	0.737245	-0.693037	-0.0351126	4.50408e-07	-0.0353625	0.0425398	-0.737328	0.693063	0.0350359
92	0	-1.00853e-06	0.035336	-0.0427008	0.737268	-0.692848	-0.0351126	6.53711e-07	-0.0353624	0.0427551	-0.73735	0.692874	0.0350359
93	0	-2.55084e-07	0.0353359	-0.0428883	0.73729	-0.692672	-0.0351124	7.61404e-07	-0.0353633	0.0429427	-0.737373	0.692698	0.0350362
94	0	-4.15254e-07	0.0353355	-0.0430893	0.737316	-0.692504	-0.0351122	9.30116e-07	-0.0353645	0.0431439	-0.737399	0.69253	0.0350363
95	0	-9.07873e-07	0.0353362	-0.0433127	0.737341	-0.692316	-0.0351124	9.4953e-07	-0.0353646	0.0433674	-0.737424	0.692342	0.0350361
96	0	-8.75547e-07	0.035337	-0.0435639	0.737364	-0.692106	-0.0351129	1.66221e-06	-0.0353645	0.0436186	-0.737447	0.692132	0.0350358
97	0	-5.02746e-07	0.035337	-0.0437622	0.737383	-0.691912	-0.0351131	1.08189e-06	-0.035365	0.043817	-0.737467	0.691939	0.0350359
98	0	-4.83514e-07	0.035337	-0.0439817	0.737412	-0.691716	-0.0351131	7.44832e-07	-0.0353658	0.0440367	-0.737495	0.691742	0.0350358
99	0	-9.50704e-07	0.0353382	-0.0442183	0.737441	-0.691513	-0.0351133	4.67709e-07	-0.0353653	0.0442735	-0.737525	0.691539	0.0350355
100	0	-5.5274e-07	0.0353395	-0.0444513	0.737467	-0.691306	-0.0351135	8.13042e-07	-0.0353647	0.0445061	-0.73755	0.691332	0.0350354
101	0	-3.61574e-07	0.0353392	-0.0446845	0.737493	-0.691096	-0.0351133	8.48136e-07	-0.0353656	0.0447394	-0.737577	0.691122	0.0350357
102	0	-7.70772e-07	0.0353388	-0.0449364	0.737522	-0.690867	-0.0351131	2.18344e-07	-0.0353666	0.0449917	-0.737606	0.690894	0.0350361
103	0	-4.93556e-07	0.0353395	-0.0451583	0.73755	-0.690655	-0.0351131	-2.72033e-07	-0.0353665	0.0452137	-0.737634	0.690681	0.0350361
104	0	-5.65906e-08	0.0353398	-0.0454091	0.737583	-0.690437	-0.0351131	3.9757e-07	-0.035367	0.0454644	-0.737666	0.690463	0.035036
105	0	-3.46482e-08	0.0353394	-0.0456714	0.737612	-0.690211	-0.0351131	9.64013e-07	-0.035368	0.0457267	-0.737696	0.690238	0.0350362
106	0	1.62906e-07	0.0353393	-0.0459268	0.737637	-0.689982	-0.0351132	1.234e-06	-0.0353686	0.0459821	-0.737722	0.690008	0.0350364
107	0	-3.22581e-08	0.0353401	-0.0461832	0.737665	-0.689748	-0.0351136	8.9348e-07	-0.0353683	0.0462386	-0.737749	0.689775	0.0350361
108	0	-3.57794e-07	0.0353411	-0.0464605	0.737695	-0.689494	-0.0351141	2.72919e-07	-0.0353677	0.0465161	-0.73778	0.689521	0.0350358
109	0	-3.4868e-08	0.0353416	-0.0467045	0.737726	-0.689259	-0.0351142	-3.32591e-07	-0.0353677	0.04676	-0.73781	0.689286	0.0350357
110	0	1.00005e-07	0.0353414	-0.0469786	0.737761	-0.689018	-0.0351139	-6.2827e-08	-0.0353685	0.0470341	-0.737845	0.689044	0.0350359
111	0	-2.17644e-07	0.0353418	-0.0472638	0.737793	-0.68877	-0.0351137	1.0003e-07	-0.0353686	0.0473192	-0.737877	0.688796	0.0350361
112	0	-2.72016e-08	0.0353423	-0.0475421	0.737821	-0.688517	-0.0351138	3.48311e-07	-0.0353686	0.0475974	-0.737904	0.688543	0.0350364
113	0	-1.27754e-08	0.035342	-0.0478227	0.73785	-0.688261	-0.0351137	3.04478e-07	-0.0353694	0.0478782	-0.737933	0.688287	0.0350367
114	0	-2.06763e-08	0.0353414	-0.0481264	0.737882	-0.687982	-0.0351136	1.29622e-07	-0.0353704	0.0481821	-0.737966	0.688008	0.035037
115	0	6.19935e-07	0.0353416	-0.0483922	0.737913	-0.687725	-0.0351137	-1.41276e-07	-0.0353705	0.0484479	-0.737997	0.687751	0.0350369
116	0	8.26473e-07	0.0353422	-0.0486895	0.737949	-0.687461	-0.0351138	2.58449e-07	-0.0353704	0.0487449	-0.738034	0.687487	0.0350366
117	0	2.31256e-07	0.035343	-0.0489979	0.737982	-0.687191	-0.0351141	2.09867e-07	-0.0353701	0.0490534	-0.738066	0.687217	0.0350364
118	0	1.74465e-07	0.0353435	-0.0493133	0.738012	-0.686899	-0.0351144	1.01347e-08	-0.0353699	0.0493687	-0.738095	0.686924	0.0350365
119	0	1.5741e-07	0.0353437	-0.0495709	0.73804	-0.686648	-0.0351144	-8.05841e-07	-0.03537	0.0496264	-0.738123	0.686674	0.0350366
120	0	-3.17178e-07	0.0353433	-0.04993	0.738078	-0.686344	-0.0351142	-9.23385e-08	-0.0353709	0.0499856	-0.738162	0.68637	0.0350367
121	0	3.38221e-07	0.0353435	-0.0502396	0.738106	-0.686044	-0.0351142	-2.1091e-07	-0.0353709	0.0502951	-0.73819	0.686069	0.0350371
122	0	1.67047e-06	0.0353432	-0.0505195	0.73814	-0.685768	-0.035114	-1.08183e-08	-0.0353715	0.0505747	-0.738223	0.685794	0.0350372
123	0	6.24079e-07	0.0353432	-0.0508684	0.738181	-0.685463	-0.0351138	-4.28642e-07	-0.035372	0.050924	-0.738264	0.685489	0.0350372
124	0	1.85778e-07	0.0353447	-0.0511724	0.738211	-0.685179	-0.0351143	-1.07252e-06	-0.0353708	0.051228	-0.738294	0.685204	0.035037
125	0	5.39108e-07	0.0353447	-0.0514957	0.738243	-0.684889	-0.0351144	-3.09137e-07	-0.0353712	0.0515511	-0.738326	0.684914	0.0350371
126	0	-2.57115e-08	0.0353437	-0.0518353	0.738273	-0.684591	-0.0351142	-2.34664e-08	-0.0353724	0.0518908	-0.738356	0.684616	0.0350374
127	0	1.95524e-07	0.0353434	-0.0521706	0.738299	-0.684287	-0.0351143	5.97359e-07	-0.0353729	0.0522261	-0.738382	0.684312	0.0350375
128	0	1.14212e-06	0.035344	-0.0524908	0.738328	-0.683968	-0.0351146	3.09784e-07	-0.0353723	0.0525462	-0.738412	0.683993	0.0350373
129	0	8.60829e-07	0.0353444	-0.0528338	0.738364	-0.683663	-0.0351146	3.49624e-07	-0.0353723	0.0528893	-0.738448	0.683689	0.035037
